121.1_0_331:E: Re(Ez) vs t, x=1.211e-07(m), y=0(m), z=3.31e-07(m) 

t(fs), Re(Ez)
108.931, 0.0367562
108.933, 0.0364504
108.936, 0.0361577
108.938, 0.0358606
108.94, 0.0355711
108.942, 0.0353246
108.945, 0.0350602
108.947, 0.0348127
108.949, 0.0345912
108.952, 0.0343807
108.954, 0.0341819
108.956, 0.0339958
108.958, 0.0338337
108.961, 0.0336716
108.963, 0.0335171
108.965, 0.0333905
108.968, 0.0332765
108.97, 0.0331943
108.972, 0.0331145
108.974, 0.0330203
108.977, 0.0329341
108.979, 0.0328675
108.981, 0.0328012
108.984, 0.0327434
108.986, 0.0326763
108.988, 0.0326146
108.99, 0.0325624
108.993, 0.0324832
108.995, 0.032409
108.997, 0.0323257
109, 0.0322308
109.002, 0.0321192
109.004, 0.0320105
109.007, 0.0318776
109.009, 0.0317193
109.011, 0.0315494
109.013, 0.0313699
109.016, 0.0311542
109.018, 0.0309169
109.02, 0.0306675
109.023, 0.0303977
109.025, 0.0300874
109.027, 0.0297727
109.029, 0.0294291
109.032, 0.0290608
109.034, 0.0286469
109.036, 0.0282362
109.039, 0.0278013
109.041, 0.0273339
109.043, 0.0268522
109.045, 0.0263515
109.048, 0.0258199
109.05, 0.0252679
109.052, 0.0247026
109.055, 0.0241317
109.057, 0.0235423
109.059, 0.0229471
109.061, 0.0223363
109.064, 0.0217177
109.066, 0.0210852
109.068, 0.0204486
109.071, 0.0198027
109.073, 0.0191623
109.075, 0.0185316
109.077, 0.0179022
109.08, 0.0172764
109.082, 0.0166467
109.084, 0.0160156
109.087, 0.0153915
109.089, 0.0147967
109.091, 0.0142163
109.093, 0.0136327
109.096, 0.0130696
109.098, 0.0125024
109.1, 0.0119543
109.103, 0.0114252
109.105, 0.0109227
109.107, 0.0104358
109.109, 0.00994363
109.112, 0.00945923
109.114, 0.00900519
109.116, 0.0085586
109.119, 0.00810909
109.121, 0.00767574
109.123, 0.00726401
109.125, 0.00685389
109.128, 0.00644553
109.13, 0.00603763
109.132, 0.00563942
109.135, 0.00524033
109.137, 0.00483741
109.139, 0.00444773
109.141, 0.0040276
109.144, 0.00360938
109.146, 0.00319242
109.148, 0.00274668
109.151, 0.00229546
109.153, 0.00182569
109.155, 0.00136015
109.158, 0.000853626
109.16, 0.00031335
109.162, -0.00021616
109.164, -0.000771407
109.167, -0.00137614
109.169, -0.00200496
109.171, -0.00264832
109.174, -0.00331625
109.176, -0.0040197
109.178, -0.00474059
109.18, -0.00551799
109.183, -0.0063123
109.185, -0.00711948
109.187, -0.00798666
109.19, -0.00887453
109.192, -0.00977175
109.194, -0.010708
109.196, -0.0116733
109.199, -0.0126644
109.201, -0.0136757
109.203, -0.0147074
109.206, -0.0157617
109.208, -0.0168422
109.21, -0.0179517
109.212, -0.0190691
109.215, -0.0201742
109.217, -0.0212978
109.219, -0.0224408
109.222, -0.0235868
109.224, -0.0247545
109.226, -0.0259003
109.228, -0.0270381
109.231, -0.0281752
109.233, -0.0293167
109.235, -0.0304374
109.238, -0.0315684
109.24, -0.032681
109.242, -0.0337686
109.244, -0.0348357
109.247, -0.035879
109.249, -0.0369093
109.251, -0.0379013
109.254, -0.0388984
109.256, -0.0398506
109.258, -0.0407662
109.26, -0.0416667
109.263, -0.0425238
109.265, -0.0433643
109.267, -0.0441549
109.27, -0.0449299
109.272, -0.045676
109.274, -0.0463641
109.276, -0.04703
109.279, -0.0476726
109.281, -0.0482754
109.283, -0.0488513
109.286, -0.0493929
109.288, -0.0499111
109.29, -0.0504051
109.292, -0.0508618
109.295, -0.0512923
109.297, -0.0517214
109.299, -0.0520936
109.302, -0.0524482
109.304, -0.0527865
109.306, -0.0531289
109.309, -0.0534442
109.311, -0.0537541
109.313, -0.0540438
109.315, -0.0543214
109.318, -0.0545851
109.32, -0.0548441
109.322, -0.0551224
109.325, -0.0553774
109.327, -0.0556309
109.329, -0.0558881
109.331, -0.0561508
109.334, -0.0564193
109.336, -0.0566838
109.338, -0.0569564
109.341, -0.0572476
109.343, -0.05754
109.345, -0.0578509
109.347, -0.058145
109.35, -0.0584774
109.352, -0.0588233
109.354, -0.059182
109.357, -0.0595297
109.359, -0.0599013
109.361, -0.0603112
109.363, -0.060703
109.366, -0.0611147
109.368, -0.0615287
109.37, -0.0619716
109.373, -0.0624319
109.375, -0.0628995
109.377, -0.0633664
109.379, -0.0638326
109.382, -0.0643187
109.384, -0.0648152
109.386, -0.0652919
109.389, -0.0657855
109.391, -0.0662989
109.393, -0.0667942
109.395, -0.0672939
109.398, -0.0677933
109.4, -0.0682881
109.402, -0.0687646
109.405, -0.0692442
109.407, -0.069714
